,No.,Time,Source,Destination,Protocol,Length,Info
27,28,0.07063794136047363,192.168.1.235,192.168.1.80,TCP,54,[SYN]
28,29,0.07621288299560547,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
29,30,0.0790860652923584,192.168.1.235,192.168.1.80,TCP,54,[SYN]
30,31,0.08032608032226562,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
31,32,0.08448910713195801,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
32,33,0.08760809898376465,192.168.1.235,192.168.1.80,TCP,54,[SYN]
33,34,0.09310197830200195,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
34,35,0.09606599807739258,192.168.1.235,192.168.1.80,TCP,54,[SYN]
35,36,0.10183000564575195,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
36,37,0.10448408126831055,192.168.1.235,192.168.1.80,TCP,54,[SYN]
37,38,0.10965609550476074,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
38,39,0.11228609085083008,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
39,40,0.11295294761657715,192.168.1.235,192.168.1.80,TCP,54,[SYN]
40,41,0.11844992637634277,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
41,42,0.1212921142578125,192.168.1.235,192.168.1.80,TCP,54,[SYN]
42,43,0.1253650188446045,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
43,44,0.12678194046020508,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
44,45,0.12888002395629883,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
45,46,0.12962603569030762,192.168.1.235,192.168.1.80,TCP,54,[SYN]
46,47,0.13514304161071777,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
47,48,0.13515400886535645,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
48,49,0.1364889144897461,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
49,50,0.13676095008850098,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
50,51,0.1380620002746582,192.168.1.235,192.168.1.80,TCP,54,[SYN]
51,52,0.14290189743041992,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
52,53,0.14329290390014648,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
53,54,0.14666509628295898,192.168.1.235,192.168.1.80,TCP,54,[SYN]
54,55,0.15239191055297852,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
55,56,0.15531206130981445,192.168.1.235,192.168.1.80,TCP,54,[SYN]
56,57,0.1603989601135254,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
57,58,0.16369009017944336,192.168.1.235,192.168.1.80,TCP,54,[SYN]
58,59,0.16905999183654785,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
59,60,0.16947507858276367,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
60,61,0.17206597328186035,192.168.1.235,192.168.1.80,TCP,54,[SYN]
61,62,0.17736101150512695,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
62,63,0.18065500259399414,192.168.1.235,192.168.1.80,TCP,54,[SYN]
63,64,0.18597793579101562,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
64,65,0.1889960765838623,192.168.1.235,192.168.1.80,TCP,54,[SYN]
65,66,0.18939805030822754,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
66,67,0.19273591041564941,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
67,68,0.19434595108032227,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
68,69,0.19729208946228027,192.168.1.235,192.168.1.80,TCP,54,[SYN]
69,70,0.19815993309020996,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
70,71,0.20067191123962402,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
71,72,0.20289301872253418,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
72,73,0.20569109916687012,192.168.1.235,192.168.1.80,TCP,54,[SYN]
73,74,0.20732593536376953,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
74,75,0.2112131118774414,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
75,76,0.21413707733154297,192.168.1.235,192.168.1.80,TCP,54,[SYN]
76,77,0.21672701835632324,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
77,78,0.21959400177001953,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
78,79,0.22269010543823242,192.168.1.235,192.168.1.80,TCP,54,[SYN]
79,80,0.2280271053314209,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
80,81,0.23106598854064941,192.168.1.235,192.168.1.80,TCP,54,[SYN]
81,82,0.23330307006835938,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
82,83,0.23412394523620605,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
83,84,0.2366468906402588,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
84,85,0.2394270896911621,192.168.1.235,192.168.1.80,TCP,54,[SYN]
85,86,0.24120497703552246,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
86,87,0.244765043258667,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
87,88,0.24780607223510742,192.168.1.235,192.168.1.80,TCP,54,[SYN]
88,89,0.25324511528015137,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
89,90,0.2562088966369629,192.168.1.235,192.168.1.80,TCP,54,[SYN]
90,91,0.25969791412353516,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
91,92,0.2615659236907959,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
92,93,0.262645959854126,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
93,94,0.26458311080932617,192.168.1.235,192.168.1.80,TCP,54,[SYN]
94,95,0.2697150707244873,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
95,96,0.26973891258239746,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
96,97,0.2697560787200928,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
97,98,0.2698850631713867,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
98,99,0.27298998832702637,192.168.1.235,192.168.1.80,TCP,54,[SYN]
99,100,0.2785320281982422,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
100,101,0.2814290523529053,192.168.1.235,192.168.1.80,TCP,54,[SYN]
101,102,0.2820930480957031,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
102,103,0.2876420021057129,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
103,104,0.28992605209350586,192.168.1.235,192.168.1.80,TCP,54,[SYN]
104,105,0.2954258918762207,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
105,106,0.29700589179992676,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
106,107,0.2970139980316162,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
107,108,0.2981839179992676,192.168.1.235,192.168.1.80,TCP,54,[SYN]
108,109,0.3036348819732666,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
109,110,0.30574488639831543,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
110,111,0.30667901039123535,192.168.1.235,192.168.1.80,TCP,54,[SYN]
111,112,0.31223392486572266,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
112,113,0.31507301330566406,192.168.1.235,192.168.1.80,TCP,54,[SYN]
113,114,0.31847500801086426,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
114,115,0.32050395011901855,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
115,116,0.32184791564941406,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
116,117,0.32347989082336426,192.168.1.235,192.168.1.80,TCP,54,[SYN]
117,118,0.32888197898864746,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
118,119,0.33190107345581055,192.168.1.235,192.168.1.80,TCP,54,[SYN]
119,120,0.335284948348999,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
120,121,0.33745288848876953,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
121,122,0.34028005599975586,192.168.1.235,192.168.1.80,TCP,54,[SYN]
122,123,0.34567809104919434,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
123,124,0.34868907928466797,192.168.1.235,192.168.1.80,TCP,54,[SYN]
124,125,0.35434603691101074,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
125,126,0.35701894760131836,192.168.1.235,192.168.1.80,TCP,54,[SYN]
126,127,0.3609490394592285,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
127,128,0.36095690727233887,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
128,129,0.3611569404602051,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
129,130,0.3623790740966797,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
130,131,0.36316609382629395,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
131,132,0.3653891086578369,192.168.1.235,192.168.1.80,TCP,54,[SYN]
132,133,0.3709859848022461,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
133,134,0.37378787994384766,192.168.1.235,192.168.1.80,TCP,54,[SYN]
134,135,0.37953901290893555,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
135,136,0.3821840286254883,192.168.1.235,192.168.1.80,TCP,54,[SYN]
136,137,0.3854379653930664,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
137,138,0.38749098777770996,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
138,139,0.3877708911895752,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
139,140,0.3906080722808838,192.168.1.235,192.168.1.80,TCP,54,[SYN]
140,141,0.3911099433898926,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
141,142,0.39633703231811523,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
142,143,0.39909791946411133,192.168.1.235,192.168.1.80,TCP,54,[SYN]
143,144,0.40475988388061523,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
144,145,0.4075140953063965,192.168.1.235,192.168.1.80,TCP,54,[SYN]
145,146,0.4129459857940674,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
146,147,0.4159419536590576,192.168.1.235,192.168.1.80,TCP,54,[SYN]
147,148,0.42153310775756836,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
148,149,0.4243130683898926,192.168.1.235,192.168.1.80,TCP,54,[SYN]
149,150,0.42494702339172363,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
150,151,0.42516398429870605,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
151,152,0.42968201637268066,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
152,153,0.43267107009887695,192.168.1.235,192.168.1.80,TCP,54,[SYN]
153,154,0.438399076461792,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
154,155,0.44112110137939453,192.168.1.235,192.168.1.80,TCP,54,[SYN]
155,156,0.44656991958618164,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
156,157,0.4494760036468506,192.168.1.235,192.168.1.80,TCP,54,[SYN]
157,158,0.45416808128356934,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
158,159,0.4541759490966797,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
159,160,0.4550631046295166,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
160,161,0.4567708969116211,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
161,162,0.45677804946899414,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
162,163,0.45784902572631836,192.168.1.235,192.168.1.80,TCP,54,[SYN]
163,164,0.4633810520172119,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
164,165,0.46338391304016113,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
165,166,0.46625208854675293,192.168.1.235,192.168.1.80,TCP,54,[SYN]
166,167,0.47164201736450195,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
167,168,0.47471189498901367,192.168.1.235,192.168.1.80,TCP,54,[SYN]
168,169,0.4802210330963135,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
169,170,0.4831380844116211,192.168.1.235,192.168.1.80,TCP,54,[SYN]
170,171,0.4875779151916504,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
171,172,0.4887659549713135,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
172,173,0.49051594734191895,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
173,174,0.49094605445861816,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
174,175,0.49149298667907715,192.168.1.235,192.168.1.80,TCP,54,[SYN]
175,176,0.49710893630981445,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
176,177,0.49764394760131836,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
177,178,0.49765491485595703,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
178,179,0.4998769760131836,192.168.1.235,192.168.1.80,TCP,54,[SYN]
179,180,0.5054199695587158,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
180,181,0.5082619190216064,192.168.1.235,192.168.1.80,TCP,54,[SYN]
181,182,0.5101220607757568,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
182,183,0.5138258934020996,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
183,184,0.5138459205627441,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
184,185,0.516685962677002,192.168.1.235,192.168.1.80,TCP,54,[SYN]
185,186,0.5191349983215332,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
186,187,0.5218040943145752,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
187,188,0.5222060680389404,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
188,189,0.5251250267028809,192.168.1.235,192.168.1.80,TCP,54,[SYN]
189,190,0.5255589485168457,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
190,191,0.5305318832397461,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
191,192,0.533560037612915,192.168.1.235,192.168.1.80,TCP,54,[SYN]
192,193,0.5389649868011475,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
193,194,0.5419149398803711,192.168.1.235,192.168.1.80,TCP,54,[SYN]
194,195,0.547382116317749,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
195,196,0.5504019260406494,192.168.1.235,192.168.1.80,TCP,54,[SYN]
196,197,0.554008960723877,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
197,198,0.5557410717010498,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
198,199,0.558758020401001,192.168.1.235,192.168.1.80,TCP,54,[SYN]
199,200,0.5602080821990967,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
200,201,0.5617110729217529,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
201,202,0.5641520023345947,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
202,203,0.5671720504760742,192.168.1.235,192.168.1.80,TCP,54,[SYN]
203,204,0.5727739334106445,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
204,205,0.5755689144134521,192.168.1.235,192.168.1.80,TCP,54,[SYN]
205,206,0.5807850360870361,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
206,207,0.5809650421142578,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
207,208,0.5821421146392822,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
208,209,0.5839600563049316,192.168.1.235,192.168.1.80,TCP,54,[SYN]
209,210,0.5895059108734131,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
210,211,0.5923600196838379,192.168.1.235,192.168.1.80,TCP,54,[SYN]
211,212,0.5979669094085693,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
212,213,0.6007421016693115,192.168.1.235,192.168.1.80,TCP,54,[SYN]
213,214,0.6060490608215332,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
214,215,0.6091709136962891,192.168.1.235,192.168.1.80,TCP,54,[SYN]
215,216,0.6148300170898438,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
216,217,0.6176919937133789,192.168.1.235,192.168.1.80,TCP,54,[SYN]
217,218,0.6231029033660889,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
218,219,0.6242249011993408,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
219,220,0.626054048538208,192.168.1.235,192.168.1.80,TCP,54,[SYN]
220,221,0.6266610622406006,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
221,222,0.6316630840301514,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
222,223,0.6342918872833252,192.168.1.235,192.168.1.80,TCP,54,[SYN]
223,224,0.6373050212860107,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
224,225,0.6373128890991211,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
225,226,0.6399190425872803,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
226,227,0.6426699161529541,192.168.1.235,192.168.1.80,TCP,54,[SYN]
227,228,0.6480178833007812,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
228,229,0.6497840881347656,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
229,230,0.6510460376739502,192.168.1.235,192.168.1.80,TCP,54,[SYN]
230,231,0.6541149616241455,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
231,232,0.6564030647277832,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
232,233,0.6568739414215088,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
233,234,0.6594541072845459,192.168.1.235,192.168.1.80,TCP,54,[SYN]
234,235,0.6647129058837891,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
235,236,0.6648399829864502,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
236,237,0.6655991077423096,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
237,238,0.667834997177124,192.168.1.235,192.168.1.80,TCP,54,[SYN]
238,239,0.6734189987182617,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
239,240,0.6762309074401855,192.168.1.235,192.168.1.80,TCP,54,[SYN]
240,241,0.6800119876861572,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
241,242,0.6816210746765137,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
242,243,0.6821079254150391,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
243,244,0.6847920417785645,192.168.1.235,192.168.1.80,TCP,54,[SYN]
244,245,0.6896169185638428,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
245,246,0.6896429061889648,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
246,247,0.6901040077209473,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
247,248,0.693011999130249,192.168.1.235,192.168.1.80,TCP,54,[SYN]
248,249,0.6985440254211426,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
249,250,0.7014069557189941,192.168.1.235,192.168.1.80,TCP,54,[SYN]
250,251,0.7023289203643799,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
251,252,0.7068390846252441,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
252,253,0.7076818943023682,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
253,254,0.7097649574279785,192.168.1.235,192.168.1.80,TCP,54,[SYN]
254,255,0.7155981063842773,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
255,256,0.7182331085205078,192.168.1.235,192.168.1.80,TCP,54,[SYN]
256,257,0.7186150550842285,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
257,258,0.7238509654998779,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
258,259,0.726654052734375,192.168.1.235,192.168.1.80,TCP,54,[SYN]
259,260,0.7296280860900879,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
260,261,0.7321979999542236,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
261,262,0.735029935836792,192.168.1.235,192.168.1.80,TCP,54,[SYN]
262,263,0.7404220104217529,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
263,264,0.7434608936309814,192.168.1.235,192.168.1.80,TCP,54,[SYN]
264,265,0.745107889175415,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
265,266,0.7454690933227539,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
266,267,0.7488648891448975,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
267,268,0.7518439292907715,192.168.1.235,192.168.1.80,TCP,54,[SYN]
268,269,0.7520298957824707,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
269,270,0.7547180652618408,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
270,271,0.757451057434082,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
271,272,0.7602400779724121,192.168.1.235,192.168.1.80,TCP,54,[SYN]
272,273,0.7651369571685791,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
273,274,0.7655229568481445,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
274,275,0.76615309715271,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
275,276,0.7686131000518799,192.168.1.235,192.168.1.80,TCP,54,[SYN]
276,277,0.7741310596466064,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
277,278,0.7770700454711914,192.168.1.235,192.168.1.80,TCP,54,[SYN]
278,279,0.7817409038543701,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
279,280,0.7826309204101562,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
280,281,0.7832250595092773,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
281,282,0.785491943359375,192.168.1.235,192.168.1.80,TCP,54,[SYN]
282,283,0.7906079292297363,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
283,284,0.7932209968566895,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
284,285,0.7939319610595703,192.168.1.235,192.168.1.80,TCP,54,[SYN]
285,286,0.7992970943450928,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
286,287,0.8023500442504883,192.168.1.235,192.168.1.80,TCP,54,[SYN]
287,288,0.8079149723052979,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
288,289,0.8088939189910889,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
289,290,0.8090128898620605,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
290,291,0.8101680278778076,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
291,292,0.8107678890228271,192.168.1.235,192.168.1.80,TCP,54,[SYN]
292,293,0.8163650035858154,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
293,294,0.8165669441223145,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
294,295,0.8191959857940674,192.168.1.235,192.168.1.80,TCP,54,[SYN]
295,296,0.8247990608215332,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
296,297,0.8276491165161133,192.168.1.235,192.168.1.80,TCP,54,[SYN]
297,298,0.8332479000091553,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
298,299,0.8360929489135742,192.168.1.235,192.168.1.80,TCP,54,[SYN]
299,300,0.8414630889892578,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
300,301,0.841559886932373,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
301,302,0.8444468975067139,192.168.1.235,192.168.1.80,TCP,54,[SYN]
302,303,0.8498060703277588,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
303,304,0.8528831005096436,192.168.1.235,192.168.1.80,TCP,54,[SYN]
304,305,0.8566780090332031,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
305,306,0.858288049697876,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
306,307,0.8612270355224609,192.168.1.235,192.168.1.80,TCP,54,[SYN]
307,308,0.8667800426483154,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
308,309,0.869636058807373,192.168.1.235,192.168.1.80,TCP,54,[SYN]
309,310,0.8716030120849609,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
310,311,0.8749279975891113,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
311,312,0.8780190944671631,192.168.1.235,192.168.1.80,TCP,54,[SYN]
312,313,0.8816919326782227,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
313,314,0.8833420276641846,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
314,315,0.8864479064941406,192.168.1.235,192.168.1.80,TCP,54,[SYN]
315,316,0.892132043838501,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
316,317,0.8949079513549805,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
317,318,0.895226001739502,192.168.1.235,192.168.1.80,TCP,54,[SYN]
318,319,0.9002370834350586,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
319,320,0.9031670093536377,10.128.0.2,10.0.0.2,TCP,58,[SYN][ACK]
