"No.","Time","Source","Destination","Protocol","Length","Info"
"48","0.448996","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","85","443  >  53870 Len=23"
"49","0.449261","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","98","53870  >  443 Len=36"
"50","0.478835","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::2003","UDP","95","53870  >  443 Len=33"
"51","0.486271","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","86","443  >  53688 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1440 SACK_PERM WS=128"
"52","0.486349","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"53","0.487301","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","280","Client Hello (SNI=sadownload.mcafee.com)"
"54","0.559269","4.2.2.2","192.168.100.209","ICMP","74","Echo (ping) reply    id=0x0001, seq=258/513, ttl=52 (request in 46)"
"55","0.587393","2a00:1450:4018:807::2003","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","87","443  >  53870 Len=25"
"56","0.618104","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53688 [ACK] Seq=1 Ack=207 Win=64640 Len=0"
"57","0.696224","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","1486","Server Hello"
"58","0.696224","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=1413 Ack=207 Win=64640 Len=1412 [TCP segment of a reassembled PDU]"
"59","0.696224","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","991","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"60","0.696268","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=207 Ack=3742 Win=131072 Len=0"
"61","0.698078","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"62","0.833149","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53688 [ACK] Seq=3742 Ack=333 Win=64640 Len=0"
"63","0.833149","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","348","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"64","0.839177","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","258","Application Data"
"65","0.972818","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53688 [ACK] Seq=4016 Ack=517 Win=64512 Len=0"
"66","0.974321","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","2898","443  >  53688 [PSH, ACK] Seq=4016 Ack=517 Win=64512 Len=2824 [TCP segment of a reassembled PDU]"
"67","0.974321","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","827","Application Data"
"68","0.974355","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=517 Ack=7593 Win=131072 Len=0"
"69","0.977103","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","256","Application Data"
"70","1.087926","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a03:2880:f242:c9:face:b00c:0:1cc9","TLSv1.2","144","Application Data"
"71","1.109051","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53688 [ACK] Seq=7593 Ack=699 Win=64384 Len=0"
"72","1.117027","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","4310","443  >  53688 [PSH, ACK] Seq=7593 Ack=699 Win=64384 Len=4236 [TCP segment of a reassembled PDU]"
"73","1.117027","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","810","Application Data"
"74","1.117074","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=699 Ack=12565 Win=131072 Len=0"
"75","1.118978","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","257","Application Data"
"76","1.192716","2a03:2880:f242:c9:face:b00c:0:1cc9","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53020 [ACK] Seq=1 Ack=71 Win=282 Len=0"
"77","1.256014","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=12565 Ack=882 Win=64256 Len=1412 [TCP segment of a reassembled PDU]"
"78","1.256663","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=13977 Ack=882 Win=64256 Len=1412 [TCP segment of a reassembled PDU]"
"79","1.256663","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","749","Application Data"
"80","1.256706","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=882 Ack=16064 Win=131072 Len=0"
"81","1.268242","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","256","Application Data"
"82","1.303344","2a03:2880:f242:c9:face:b00c:0:1cc9","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","146","Application Data"
"83","1.355374","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a03:2880:f242:c9:face:b00c:0:1cc9","TCP","74","53020  >  443 [ACK] Seq=71 Ack=73 Win=514 Len=0"
"84","1.402527","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:807::200a","UDP","91","62678  >  443 Len=29"
"85","1.403699","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=16064 Ack=1064 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"86","1.403699","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","123","Application Data"
"87","1.403760","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=1064 Ack=17525 Win=131072 Len=0"
"88","1.423342","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","250","Application Data"
"89","1.423746","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","53689  >  443 [SYN] Seq=0 Win=64952 Len=0 MSS=1412 WS=256 SACK_PERM"
"90","1.448392","192.168.100.209","4.2.2.2","ICMP","74","Echo (ping) request  id=0x0001, seq=259/769, ttl=128 (reply in 97)"
"91","1.539662","2a00:1450:4018:807::200a","2400:adc1:419:5200:3ceb:c484:7c96:6905","UDP","86","443  >  62678 Len=24"
"92","1.555599","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","86","443  >  53689 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1440 SACK_PERM WS=128"
"93","1.555599","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","1393","Application Data"
"94","1.555774","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53689  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"95","1.556172","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","280","Client Hello (SNI=sadownload.mcafee.com)"
"96","1.556779","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","261","Application Data"
"97","1.571291","4.2.2.2","192.168.100.209","ICMP","74","Echo (ping) reply    id=0x0001, seq=259/769, ttl=52 (request in 90)"
"98","1.691344","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","769","[TCP Previous segment not captured] , Ignored Unknown Record"
"99","1.691395","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 96#1] 53688  >  443 [ACK] Seq=1427 Ack=18844 Win=129792 Len=0 SLE=20256 SRE=20951"
"100","1.691476","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","74","443  >  53689 [ACK] Seq=1 Ack=207 Win=64640 Len=0"
"101","1.695006","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","[TCP Out-Of-Order] 443  >  53688 [ACK] Seq=18844 Ack=1427 Win=64128 Len=1412"
"102","1.695047","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53688  >  443 [ACK] Seq=1427 Ack=20951 Win=131072 Len=0"
"103","1.698051","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","256","Application Data"
"104","1.797955","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","2898","Server Hello"
"105","1.797955","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","992","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"106","1.798008","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","74","53689  >  443 [ACK] Seq=207 Ack=3743 Win=131072 Len=0"
"107","1.800491","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TLSv1.2","200","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"108","1.832855","fe80::6dfc:c1e8:75c2:aac7","fe80::1","DNS","99","Standard query 0x0c36 AAAA clients6.google.com"
"109","1.832988","fe80::6dfc:c1e8:75c2:aac7","fe80::1","DNS","99","Standard query 0xd747 A clients6.google.com"
"110","1.833002","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=20951 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"111","1.833002","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","8546","[TCP Previous segment not captured] 443  >  53688 [PSH, ACK] Seq=23775 Ack=1609 Win=64128 Len=8472 [TCP segment of a reassembled PDU]"
"112","1.833041","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=32247"
"113","1.833076","fe80::6dfc:c1e8:75c2:aac7","fe80::1","DNS","99","Standard query 0x30fa HTTPS clients6.google.com"
"114","1.844603","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=32247 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"115","1.844603","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=33659 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"116","1.844644","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#1] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=33659"
"117","1.844701","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#2] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=35071"
"118","1.844852","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=35071 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"119","1.844852","fe80::1","fe80::6dfc:c1e8:75c2:aac7","DNS","161","Standard query response 0x0c36 AAAA clients6.google.com CNAME clients.l.google.com AAAA 2a00:1450:4018:806::200e"
"120","1.844852","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","4310","443  >  53688 [PSH, ACK] Seq=36483 Ack=1609 Win=64128 Len=4236 [TCP segment of a reassembled PDU]"
"121","1.844896","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#3] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=36483"
"122","1.844994","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#4] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=40719"
"123","1.846448","fe80::1","fe80::6dfc:c1e8:75c2:aac7","DNS","149","Standard query response 0xd747 A clients6.google.com CNAME clients.l.google.com A 142.250.181.174"
"124","1.846448","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","8546","443  >  53688 [PSH, ACK] Seq=40719 Ack=1609 Win=64128 Len=8472 [TCP segment of a reassembled PDU]"
"125","1.846500","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#5] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=49191"
"126","1.853940","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=49191 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"127","1.853940","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=50603 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"128","1.853940","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=52015 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"129","1.853940","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","1486","Application Data"
"130","1.853940","fe80::1","fe80::6dfc:c1e8:75c2:aac7","DNS","173","Standard query response 0x30fa HTTPS clients6.google.com CNAME clients.l.google.com SOA ns1.google.com"
"131","1.853988","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#6] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=50603"
"132","1.854040","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#7] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=52015"
"133","1.854062","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#8] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=53427"
"134","1.854081","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#9] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=54839"
"135","1.854199","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","1486","Application Data"
"136","1.854199","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=56251 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"137","1.854229","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#10] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=56251"
"138","1.854277","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#11] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=57663"
"139","1.854791","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:806::200e","QUIC","1292","Initial, DCID=d758dc5651d3d13a, PKN: 1, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO"
"140","1.854949","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:806::200e","QUIC","142","0-RTT, DCID=d758dc5651d3d13a"
"141","1.855155","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:806::200e","QUIC","1288","0-RTT, DCID=d758dc5651d3d13a"
"142","1.855181","2400:adc1:419:5200:3ceb:c484:7c96:6905","2a00:1450:4018:806::200e","QUIC","1151","0-RTT, DCID=d758dc5651d3d13a"
"143","1.858275","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","8546","443  >  53688 [PSH, ACK] Seq=57663 Ack=1609 Win=64128 Len=8472 [TCP segment of a reassembled PDU]"
"144","1.858303","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#12] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=66135"
"145","1.864134","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TLSv1.2","8546","Application Data"
"146","1.864181","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#13] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=74607"
"147","1.870131","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","8546","443  >  53688 [PSH, ACK] Seq=74607 Ack=1609 Win=64128 Len=8472 [TCP segment of a reassembled PDU]"
"148","1.870164","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#14] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=83079"
"149","1.878165","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=83079 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"150","1.878165","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [PSH, ACK] Seq=84491 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"151","1.878203","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#15] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=84491"
"152","1.878256","2400:adc1:419:5200:3ceb:c484:7c96:6905","2001:1670:0:105::52b2:9e51","TCP","86","[TCP Dup ACK 112#16] 53688  >  443 [ACK] Seq=1609 Ack=22363 Win=131072 Len=0 SLE=23775 SRE=85903"
"153","1.892421","2001:1670:0:105::52b2:9e51","2400:adc1:419:5200:3ceb:c484:7c96:6905","TCP","1486","443  >  53688 [ACK] Seq=85903 Ack=1609 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
